event_date,country,latitude,longitude,airport_code,aircraft_category,registration_number,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,weather_condition,aircraft_damage
12/24/2012,United States,26.186389,-98.2275,KMFE,Helicopter,N489AE,BELL,407,FALSE,1,Turbo Shaft,Positioning,VMC,Substantial
12/23/2012,United States,26.373889,-80.104722,BCT,Airplane,N4340G,PIPER,PA-28RT-201T,FALSE,1,Reciprocating,Personal,VMC,Substantial
12/20/2012,United States,37.950833,-79.833611,HSP,Airplane,N5813L,AMERICAN,AA-5,FALSE,1,Reciprocating,Personal,VMC,Substantial
12/18/2012,United States,34.450556,-84.930556,CZL,Airplane,N156FH,RUSSOM ROY G,HUMMEL H5,FALSE,1,Reciprocating,Personal,VMC,Substantial
1/19/2009,United States,42.291666,-89.136111,1C8,Airplane,N35571,Cessna,172I,FALSE,1,Reciprocating,Personal,VMC,Substantial
12/1/2012,United States,26.191944,-80.171111,FXE,Airplane,N2196W,BEECH,B19,FALSE,1,Reciprocating,Instructional,VMC,Substantial
12/1/2012,United States,33.176945,-96.588611,KTKI,Airplane,N737TY,CESSNA,172N,FALSE,1,Reciprocating,Personal,VMC,Substantial
11/29/2012,United States,41.909167,-96.223889,KBTA,Airplane,N720RC,ERCOUPE,415-C,FALSE,1,Reciprocating,Personal,VMC,Substantial
11/24/2012,United States,39.014444,-94.214722,3GV,Airplane,N15PU,CHRISTEN INDUSTRIES INC,PITTS S-2S,FALSE,1,Reciprocating,Personal,VMC,Substantial
11/21/2012,United States,39.784166,-104.538055,KFTG,Airplane,N17SE,Brian P North,RAF SE5A Replica,TRUE,1,Reciprocating,Personal,VMC,Substantial
11/20/2012,United States,38.025278,-122.503333,CA35,Airplane,N3919Y,CESSNA,210,FALSE,1,Reciprocating,Personal,VMC,Substantial
11/20/2012,United States,29.284722,-98.498055,74R,Airplane,N56226,BOEING,A75L3,FALSE,1,Reciprocating,Personal,VMC,Substantial
11/15/2012,United States,41.448333,-90.5075,MLI,Airplane,N6231F,CESSNA,172N,FALSE,1,Reciprocating,Instructional,VMC,Substantial
